Disciplina;Creditos;Horario;Professor;Vagas;Inscritos;Sobrando
DIN0540 (20262NO) - Temas Avançados de Direito do Comércio Internacional e Arbitragem (Período ideal: 10);2;ter 18:20 19:55 | ter 18:20 19:55;Adriana Regina Sarra de Deus / (R) José Augusto Fontoura Costa;48;22;26
DIN0544 (20262DI) - Direito Marítimo (Período ideal: 10);4;ter 09:15 12:50;(R) Wagner Luiz Menezes Lino;12;10;2
DIN0544 (20262NO) - Direito Marítimo (Período ideal: 10);4;ter 18:20 21:35;(R) Wagner Luiz Menezes Lino;48;73;-25
DPC0112 (20262DI) - Introdução ao Estudo dos Meios de Solução de Controvérsias (Período ideal: 2);2;qui 07:25 09:00 | qui 07:25 09:00 | qui 07:25 09:00;Clarisse Frechiani Lara Leite / Adriano Camargo Gomes / (R) Flávio Luiz Yarshell;18;41;-23
DPC0112 (20262NO) - Introdução ao Estudo dos Meios de Solução de Controvérsias (Período ideal: 2);2;qui 20:00 21:35;Carlos Alberto de Salles;48;100;-52
DPC0218 (20262DI) - Processo Penal e Crime: Justiça Restaurativa Novos Métodos e Técnicas de Resolução não Adjudicada e Participação Comunitária (Período ideal: 4);2;qui 11:15 12:50;(R) Maurício Zanoide de Moraes;24;21;3
DPC0218 (20262NO) - Processo Penal e Crime: Justiça Restaurativa Novos Métodos e Técnicas de Resolução não Adjudicada e Participação Comunitária (Período ideal: 4);2;qui 21:40 23:15;Guilherme Madeira Dezem;104;161;-57
DPC0220 (20262DI) - Introdução à Arbitragem: Prática e Simulações (Período ideal: 4);2;sex 09:15 11:00;Paulo Henrique dos Santos Lucon;12;16;-4
DPC0220 (20262NO) - Introdução à Arbitragem: Prática e Simulações (Período ideal: 4);2;qui 18:20 19:55;(R) Carlos Alberto de Salles;48;90;-42
DPC0322 (20262D1) - Direito Processual Civil III: Teoria Geral dos Recursos e da Execução (Período ideal: 6);2;sex 09:15 11:00 | sex 09:15 11:00;Carlos Alberto de Salles / Adriano Camargo Gomes;12;13;-1
DPC0322 (20262D2) - Direito Processual Civil III: Teoria Geral dos Recursos e da Execução (Período ideal: 6);2;sex 11:15 12:50 | sex 11:15 12:50;Carlos Alberto de Salles / Adriano Camargo Gomes;12;19;-7
DPC0322 (20262NO) - Direito Processual Civil III: Teoria Geral dos Recursos e da Execução (Período ideal: 6);2;sex 18:20 19:55 | sex 18:20 19:55;Ricardo de Carvalho Aprigliano / Elie Pierre Eid;120;116;4
DPC0324 (20262DI) - Justiça Penal Negociada (Período ideal: 6);2;sex 09:15 11:00;Vinicius Gomes de Vasconcellos;24;8;16
DPC0324 (20262NO) - Justiça Penal Negociada (Período ideal: 6);2;qui 21:40 23:15;Vinicius Gomes de Vasconcellos;96;95;1
DPC0329 (20262DI) - Direito Digital e das novas tecnologias na resolução dos conflitos (Período ideal: 5);2;sex 11:15 12:50;(R) Paulo Henrique dos Santos Lucon;24;17;7
DPC0430 (20262DI) - Recursos em Espécie (Período ideal: 8);2;qua 07:25 09:00;Heitor Vitor Mendonça Fralino Sica;24;19;5
DPC0436 (20262DI) - Execuções em Espécie (Período ideal: 8);2;qui 11:15 12:50 | qui 11:15 12:50;Ricardo de Carvalho Aprigliano / (R) Jose Roberto dos Santos Bedaque;12;2;10
DPC0436 (20262NO) - Execuções em Espécie (Período ideal: 8);2;ter 20:00 21:35;José Carlos Baptista Puoli;96;54;42
DPC0440 (20262DI) - Direito Processual Penal III: Meios de Prova e Meios de Obtenção da Prova (Período ideal: 8);2;qua 09:15 11:00 | qua 09:15 11:00;Andrey Borges de Mendonça / (R) Gustavo Henrique Righi Ivahy Badaró;20;17;3
DPC0440 (20262NO) - Direito Processual Penal III: Meios de Prova e Meios de Obtenção da Prova (Período ideal: 8);2;qui 20:00 21:35;Guilherme Madeira Dezem;96;73;23
DPC0442 (20262DI) - Arbitragem e Processo (Período ideal: 8);2;qua 09:15 11:00;(R) Carlos Alberto Carmona;8;11;-3
DPC0442 (20262NO) - Arbitragem e Processo (Período ideal: 8);2;qui 18:20 19:55 | qui 18:20 19:55;Ricardo de Carvalho Aprigliano / Flávio Luiz Yarshell;27;49;-22
